name,price,location,station,area,plan,balcony,build,regist,hashdata
日商岩井小島町マンション,2780万円,東京都江戸川区西葛西６-28-20,東京メトロ東西線「西葛西」徒歩8分,60.5m2（壁芯）,3DK,6.6m2,1975年9月,2023/01/03 15:00,d4f920f2468fa6f4a4db1aa1b9c2e9ff072d87593bb7aa78aee851954ca8308d
サンライフ一之江,3180万円,東京都江戸川区西一之江４-2-8,都営新宿線「一之江」徒歩23分,78m2（23.59坪）（壁芯）,2LDK+S（納戸）,12.54m2,1994年1月,2023/01/03 15:00,8cbb0d8d6743cb7cb73818330adaffe34561e839364f0162422ba6d10316482a
西葛西スカイハイツ,3290万円,東京都江戸川区西葛西４-2-47,東京メトロ東西線「西葛西」徒歩8分,53.53m2（壁芯）,2LDK,8.4m2,1978年12月,2023/01/03 15:00,446e3ef819200ca5b87b514f4d471b0c93378b8c6624722aca07a9170662cfd7
なぎさニュータウン　５号棟,3390万円,東京都江戸川区南葛西７-2-5,東京メトロ東西線「葛西」バス11分停歩3分,71.5m2（壁芯）,3LDK,9.75m2,1980年3月,2023/01/03 15:00,443bf646a1f2ddefecc9a1efd589c26106726583351db9f0f645a1358d9d310c
南篠崎スカイハイツ　Ｂ棟,3580万円,東京都江戸川区南篠崎町５-12-2,都営新宿線「瑞江」徒歩17分,72.62m2（壁芯）,3LDK,29.01m2,1980年7月,2023/01/03 15:00,fd0023e38482cc75b697bdb596ce90c090db92b16209b8e2fd73d7d352cac6e4
アーバンコート船堀,3980万円,東京都江戸川区船堀４-5-16,都営新宿線「船堀」徒歩5分,56.62m2（壁芯）,3LDK,6.35m2,1985年11月,2023/01/03 15:00,22351661809592b25dc142b7192ac8fd8583ebe4a93b6bd87d95a7ee84a4c1ac
ハイラーク船堀,4180万円,東京都江戸川区船堀１,都営新宿線「船堀」徒歩6分,69m2（壁芯）,3LDK,7.9m2,1980年6月,2023/01/03 15:00,9d1af294cfef150b833d79d765034e24d24e7cafe6e10220ec17cfc3fa7e1ed9
ライオンズマンション小島町,4290万円,東京都江戸川区西葛西３-10-22,東京メトロ東西線「西葛西」徒歩9分,70.95m2（壁芯）,3LDK,13.74m2,1979年5月,2023/01/03 15:00,73c2c9ceb8af2efef34deae82d9775a0563dfe53c01de0cc031dcf679c9a4ff7
アルファグランデ一之江,4899万円,東京都江戸川区春江町４,都営新宿線「一之江」徒歩8分,67.12m2,3LDK,8.21m2,1995年8月,2023/01/03 15:00,57a57921ca56a6882bc784bde2cc68c6d43c25fc5f0ff7b009d3605493ffcd64
清新中央ハイツ　７号棟,4990万円,東京都江戸川区清新町１-1-7,東京メトロ東西線「西葛西」徒歩14分,88.05m2（壁芯）,3LDK,14.07m2,1986年7月,2023/01/03 15:00,ad9c316c2880cefe9efe64df14d586b63a5d36501dadef5893f92eaa4ea9c203
清新北ハイツ　２号棟,5190万円,東京都江戸川区清新町１-4-2,東京メトロ東西線「西葛西」徒歩8分,82.47m2（壁芯）,3LDK,20.34m2,1983年3月,2023/01/03 15:00,f3d2193f30b6d435a85417922ed1343a43e3f1edd47a91f16986d05e905afd4a
パレ・ドール小岩,5380万円,東京都江戸川区西小岩１-30-12,ＪＲ総武線「小岩」徒歩4分,107.06m2（登記）,3LDK,-,1979年11月,2023/01/03 15:00,4f2a87b1310ebc34e3b4c9536e27dac057e550cd9a3d55ba8771d26794356b12
ゾンネンハイム葛西,3999万円,東京都江戸川区東葛西５,東京メトロ東西線「葛西」徒歩2分,61.75m2（壁芯）,3LDK,8.85m2,1978年2月,2023/01/03 15:00,50db5c8f52484d9a35fca2b8b13853f27d5466dee4ca793dfa3cbbdd2dc6c75c
秀和小岩レジデンス,2880万円,東京都江戸川区東小岩６,ＪＲ総武線「小岩」徒歩12分,50.75m2（壁芯）,2LDK,5m2,1973年11月,2023/01/03 15:00,9b486f5222d2891400e32532288d8a2560ca5b9d07aa900b09fb808f4e37093d
